,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,gpt35,0,paper,scissors,-1,3
1,opponent_transition_up,gpt35,1,paper,rock,3,-1
2,opponent_transition_up,gpt35,2,paper,scissors,-1,3
3,opponent_transition_up,gpt35,3,rock,scissors,3,-1
4,opponent_transition_up,gpt35,4,rock,paper,-1,3
5,opponent_transition_up,gpt35,5,scissors,paper,3,-1
6,opponent_transition_up,gpt35,6,scissors,paper,3,-1
7,opponent_transition_up,gpt35,7,scissors,rock,-1,3
8,opponent_transition_up,gpt35,8,paper,rock,3,-1
9,opponent_transition_up,gpt35,9,paper,scissors,-1,3
10,opponent_transition_up,gpt35,10,rock,scissors,3,-1
11,opponent_transition_up,gpt35,11,rock,paper,-1,3
12,opponent_transition_up,gpt35,12,scissors,paper,3,-1
13,opponent_transition_up,gpt35,13,scissors,paper,3,-1
14,opponent_transition_up,gpt35,14,scissors,paper,3,-1
15,opponent_transition_up,gpt35,15,scissors,rock,-1,3
16,opponent_transition_up,gpt35,16,paper,rock,3,-1
17,opponent_transition_up,gpt35,17,rock,rock,0,0
18,opponent_transition_up,gpt35,18,paper,paper,0,0
19,opponent_transition_up,gpt35,19,paper,scissors,-1,3
20,opponent_transition_up,gpt35,20,rock,rock,0,0
21,opponent_transition_up,gpt35,21,paper,paper,0,0
22,opponent_transition_up,gpt35,22,scissors,scissors,0,0
23,opponent_transition_up,gpt35,23,rock,rock,0,0
24,opponent_transition_up,gpt35,24,paper,paper,0,0
25,opponent_transition_up,gpt35,25,scissors,scissors,0,0
26,opponent_transition_up,gpt35,26,scissors,paper,3,-1
27,opponent_transition_up,gpt35,27,scissors,rock,-1,3
28,opponent_transition_up,gpt35,28,rock,rock,0,0
29,opponent_transition_up,gpt35,29,paper,rock,3,-1
30,opponent_transition_up,gpt35,30,scissors,rock,-1,3
31,opponent_transition_up,gpt35,31,paper,rock,3,-1
32,opponent_transition_up,gpt35,32,paper,scissors,-1,3
33,opponent_transition_up,gpt35,33,rock,rock,0,0
34,opponent_transition_up,gpt35,34,paper,paper,0,0
35,opponent_transition_up,gpt35,35,scissors,scissors,0,0
36,opponent_transition_up,gpt35,36,rock,rock,0,0
37,opponent_transition_up,gpt35,37,paper,paper,0,0
