"game_id","player_id","bot_strategy","total_points","total_win","total_loss","total_tie","games","win_pct"
"00f9055b-2986-4a4b-8550-2695cedb7358","55402ef8-01ba-4792-b74d-0b72df12a806","opponent_prev_move_positive",752,257,19,24,300,0.8566666666666667
"01f5bad3-9155-4c92-a3a2-bb525fe7eb38","e1f7f3dd-afe4-430b-b549-b69953f3925f","win_positive_lose_negative",172,78,62,160,300,0.26
"035bc4da-cd1e-4870-87d8-d6bc5f720555","9aebc1ec-8b0c-4b7e-8954-cbcc687c6a1a","opponent_prev_move_nil",680,240,40,20,300,0.8
"04bcb54c-02ca-45dc-b0dc-cca4e0107a9f","f6737a3d-489b-40b7-a169-ae6fc00cb7d5","opponent_prev_move_positive",266,106,52,142,300,0.35333333333333333
"0589f70e-def3-4d35-aaa1-841925f7cf87","c7675601-e383-4906-b947-66193f2888d9","outcome_transition_dual_dependency",228,109,99,92,300,0.36333333333333334
"05e77e5f-39e3-42ae-8542-99f71eb7ab35","6bc4ab71-92cd-439e-8424-5be4bd7c2de6","opponent_prev_move_positive",384,142,42,116,300,0.47333333333333333
"06939345-e8b3-4375-a528-75d41bba21fe","9576015e-730c-4ad7-9417-b869bced461a","opponent_prev_move_nil",536,185,19,96,300,0.6166666666666667
"08d13703-0de7-4f58-aa8b-4996af18f6da","f7648a2d-944f-49ae-a8c3-38ee63607ae1","win_positive_lose_negative",319,121,44,135,300,0.4033333333333333
"09994e51-17b2-4027-b6e7-b5c26a694d8f","f67c4df3-5ac9-4e9b-bd70-1f5b9d2948d5","prev_move_negative",281,124,91,85,300,0.41333333333333333
"0c787efb-cff6-46b8-a4f7-ed653761f340","69310af3-7899-4218-a29f-c142b951a2f6","win_positive_lose_negative",224,111,109,80,300,0.37
"0d4fe40c-47f0-478c-9adb-a10b5f473e0e","a121fa8a-9388-4d9b-bc3a-ecec30e7fe02","win_nil_lose_positive",256,110,74,116,300,0.36666666666666664
"0d533791-7b36-49e9-9bcd-2a36f841630f","6a156fd9-b164-4b24-9a62-70fd9c6ad078","prev_move_negative",542,197,49,54,300,0.6566666666666666
"0d63ad38-718b-4173-a0c1-3cc947091e68","c3008f84-90b0-4fd1-856b-bbf122cf613b","win_nil_lose_positive",513,188,51,61,300,0.6266666666666667
"0e42c8ed-dec4-45f1-bd15-4de1a28ba05c","8766a7e1-c137-41aa-a9ed-8b7f18a3bc16","prev_move_positive",588,207,33,60,300,0.69
"12e904c3-e3b6-4b2a-a679-a1d057d4d8fe","6805a080-daeb-42c3-98ab-3a52e9731116","win_positive_lose_negative",503,182,43,75,300,0.6066666666666667
"13e54e91-cadd-4669-917b-3afc29e412a4","39036ea4-1d83-469d-af59-30e368b30488","outcome_transition_dual_dependency",198,99,99,102,300,0.33
"1553360d-2c1c-4ead-a996-352782668666","9274287c-1aff-4163-8e42-2a968d49fc10","opponent_prev_move_positive",401,152,55,93,300,0.5066666666666667
"15ead9b6-fdf3-44db-bcca-e614e01f7a86","bed6c818-626d-4e2e-9001-ba855ae78231","outcome_transition_dual_dependency",163,90,107,103,300,0.3
"16ace811-12a8-4a06-8e15-bc3b8a03313b","06f2b367-47a8-4d55-912c-974cee03256e","win_nil_lose_positive",245,111,88,101,300,0.37
"18509f40-e687-48cb-8ea6-6fcb8e4af383","cccba145-12bf-4b34-95d0-8b7d70555c34","opponent_prev_move_nil",633,225,42,33,300,0.75
"1972fecb-5351-4037-9896-96b88cdffc23","83cbe4a4-970b-48f2-aed2-64ab1a20aee5","outcome_transition_dual_dependency",190,96,98,106,300,0.32
"19e5233a-9238-45cf-abda-55c98153ca16","a10fe586-6c42-4ed4-84dd-ac277d502d12","win_positive_lose_negative",141,77,90,133,300,0.25666666666666665
"1a0791ae-140f-44d3-8f81-7d56d32c0d4c","71b9071c-357f-4067-b985-6f3bd55e5d96","opponent_prev_move_nil",700,243,29,28,300,0.81
"1b39ddc3-e6cf-43e0-9a21-57593703b61b","962a402b-2bef-478e-a21b-22cb97548ebb","win_nil_lose_positive",296,128,88,84,300,0.4266666666666667
"1b4ec305-d435-42e7-bf58-c6934966fe1d","fb2f34e8-6c0d-4c8e-9054-76edc58a4999","win_positive_lose_negative",264,116,84,100,300,0.38666666666666666
