"game_id","player_id","free_resp_prompt","free_resp_answer","bot_strategy","total_points","total_win","total_loss","total_tie","games","win_pct"
"ebb76ace-54d1-4bda-8eab-e12729f95454","7fb9c568-eb73-4ad8-8705-45e9dcc5c4a3","In the text box below, please describe any strategies you used to try and beat your opponent.","I noticed that the opponent usually followed a pattern of what they would choose. I would recognize this pattern and follow it too to choose what object I was going to pick.","prev_move_negative",670,235,35,30,300,0.7833333333333333
"30aea025-4c7b-41c0-bd03-363cc73bf583","c82739a2-9e24-4c1b-840f-9eb00d10cd9b","In the text box below, please describe any strategies you used to try and beat your opponent.","I didn't realize there would be a strategy for a game like rock, paper, scissors.","outcome_transition_dual_dependency",197,101,106,93,300,0.33666666666666667
"77c0310c-3c29-45de-b1f4-0a949689582b","d58ab2c9-52de-44e0-b54b-1d96ca3cc785","In the text box below, please describe any strategies you used to try and beat your opponent.","if they repeated something multiple times, i went to the thing that would beat them","win_nil_lose_positive",252,111,81,108,300,0.37
"4a4a73f6-75cb-4424-85be-0361f2399da5","f61a51ea-8990-4280-926c-41251ade9764","In the text box below, please describe any strategies you used to try and beat your opponent.","The server would try to beat the last card i played, so playing the card that beat my previous hand would win the round for me.","opponent_prev_move_positive",637,220,23,57,300,0.7333333333333333
"0e42c8ed-dec4-45f1-bd15-4de1a28ba05c","8766a7e1-c137-41aa-a9ed-8b7f18a3bc16","In the text box below, please describe any strategies you used to try and beat your opponent.","At first I was just pressing rock, because rock has pretty good chances, but after realizing the pattern in the choice of my opponent I was able to figure out which object he was going to chose before he chose it.","prev_move_positive",588,207,33,60,300,0.69
"28393a17-c8b7-47cf-bd20-ae49baf9646b","d75c7e2e-b1ba-4877-a14d-628d817fa2af","In the text box below, please describe any strategies you used to try and beat your opponent.","I noticed that usually the opponent would choose whichever move would have beaten my previous choice, so I would pick whatever beat that choice. For example, if I picked rock, in the next turn the opponent would pick paper so I would choose scissors.","opponent_prev_move_positive",724,247,17,36,300,0.8233333333333334
"bead7b05-0d45-43da-8fb9-9cc2981be09f","79a2d092-4475-435d-972c-e9036a3de75d","In the text box below, please describe any strategies you used to try and beat your opponent.","I saw a rotating pattern","prev_move_positive",265,120,95,85,300,0.4
"27d2ce58-ed12-4d9c-b298-379598c5e69b","20d0d9b2-261a-490a-a3d0-d61621fbe9dd","In the text box below, please describe any strategies you used to try and beat your opponent.","At first I thought it was completely random until i found out that once I won something for example I played ROCK and they played SCISSORS, I saw it kept going down the line ROCK>PAPER>SCISSORS. But sometimes I would notice that I would tie/lose and I would pay attention to what I played last and why i tied/lost for example I played ROCK and they played PAPER. I would then predict that I should play ROCK again because they will play SCISSORS next.","prev_move_positive",679,237,32,31,300,0.79
"918a010a-e7ed-4b26-b2e8-63d7f9f5a8f2","fa5449d2-5c2e-4a6e-b029-8f87d636672f","In the text box below, please describe any strategies you used to try and beat your opponent.","Lead the computer into the loop of the tie, lets call the tie thing k, then recursively use the one that beat the k and the k.","outcome_transition_dual_dependency",274,116,74,110,300,0.38666666666666666
"4d8b459f-7586-4734-b7e2-6ee1ae630b64","06ef75f2-414f-4f3e-8be9-0f96207dfabf","In the text box below, please describe any strategies you used to try and beat your opponent.","At first I was picking randomly, but then noticed that there was a pattern where I could just do the same pattern and I would win","prev_move_negative",485,183,64,53,300,0.61
"75fa2cae-d554-44e9-9b36-02e0e05b9cbc","fbabf9cb-a960-4e47-9beb-15c2529ee390","In the text box below, please describe any strategies you used to try and beat your opponent.","Didn't really use too many strategies. I tried not to do more than 5 of the same thing in a row. Sometimes I would try and see if the computer was predicting where I would move next, but wasn't always consistent.","win_nil_lose_positive",291,121,72,107,300,0.4033333333333333
"4efd6fdf-127d-46d3-8bbc-e7ba92312ca5","20a1a2f8-583a-436e-81ba-d2fa36a94a94","In the text box below, please describe any strategies you used to try and beat your opponent.","try to predict how he/she's pattern is","prev_move_negative",762,260,18,22,300,0.8666666666666667
"ae3daa90-54f8-4557-9199-378a03096425","26f37c05-cdc8-4aa9-b887-b46e0e2b4acf","In the text box below, please describe any strategies you used to try and beat your opponent.","I tried to predict what my opponent was use based on their patterns.","outcome_transition_dual_dependency",231,109,96,95,300,0.36333333333333334
"89fe5868-3da2-45b8-9687-8aec90b283f2","9abb892e-7543-47bf-a2dc-40b0796b01b7","In the text box below, please describe any strategies you used to try and beat your opponent.","saw pattern in opponent","opponent_prev_move_positive",400,151,53,96,300,0.5033333333333333
"d0bf5c4d-9d89-46e1-bcb2-f9b510a456c3","b007f71f-9cc6-46a7-9868-0e4274a4d1fc","In the text box below, please describe any strategies you used to try and beat your opponent.","I could see that it tended to pick whatever would beat what I just chose, so I would switch between things like rock and scissors because I would tie and then win the next round.","opponent_prev_move_positive",360,135,45,120,300,0.45
