"game_id","player_id","statement","index","resp","bot_strategy","total_points","total_win","total_loss","total_tie","games","win_pct"
"d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9","7b94c71f-98ec-4000-a5d3-15423810e156","My opponent was a real person and not a robot.",0,2,"win_positive_lose_negative",354,139,63,98,300,0.4633333333333333
"d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9","7b94c71f-98ec-4000-a5d3-15423810e156","I was trying to win each round against my opponent.",1,5,"win_positive_lose_negative",354,139,63,98,300,0.4633333333333333
"d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9","7b94c71f-98ec-4000-a5d3-15423810e156","I was focused on winning for the entire time I was playing.",2,4,"win_positive_lose_negative",354,139,63,98,300,0.4633333333333333
"d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9","7b94c71f-98ec-4000-a5d3-15423810e156","I paid attention to my opponent’s moves in order to try and predict their next move.",3,5,"win_positive_lose_negative",354,139,63,98,300,0.4633333333333333
"d1c61fc5-5bbb-4dbd-b611-18bace3ee3a9","7b94c71f-98ec-4000-a5d3-15423810e156","There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.",4,5,"win_positive_lose_negative",354,139,63,98,300,0.4633333333333333
"3c480319-e167-4f3a-bb08-1218704f8d0b","727a7a81-29d4-4cf7-9965-e9277fb226bb","My opponent was a real person and not a robot.",0,2,"win_nil_lose_positive",254,115,91,94,300,0.38333333333333336
"3c480319-e167-4f3a-bb08-1218704f8d0b","727a7a81-29d4-4cf7-9965-e9277fb226bb","I was trying to win each round against my opponent.",1,2,"win_nil_lose_positive",254,115,91,94,300,0.38333333333333336
"3c480319-e167-4f3a-bb08-1218704f8d0b","727a7a81-29d4-4cf7-9965-e9277fb226bb","I was focused on winning for the entire time I was playing.",2,2,"win_nil_lose_positive",254,115,91,94,300,0.38333333333333336
"3c480319-e167-4f3a-bb08-1218704f8d0b","727a7a81-29d4-4cf7-9965-e9277fb226bb","I paid attention to my opponent’s moves in order to try and predict their next move.",3,5,"win_nil_lose_positive",254,115,91,94,300,0.38333333333333336
"3c480319-e167-4f3a-bb08-1218704f8d0b","727a7a81-29d4-4cf7-9965-e9277fb226bb","There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.",4,6,"win_nil_lose_positive",254,115,91,94,300,0.38333333333333336
"ebd54677-9931-4785-9ad6-374ff82c2070","ec0c5956-7f17-4849-98fd-0f8102d6d09c","My opponent was a real person and not a robot.",0,1,"win_nil_lose_positive",232,105,83,112,300,0.35
"ebd54677-9931-4785-9ad6-374ff82c2070","ec0c5956-7f17-4849-98fd-0f8102d6d09c","I was trying to win each round against my opponent.",1,7,"win_nil_lose_positive",232,105,83,112,300,0.35
"ebd54677-9931-4785-9ad6-374ff82c2070","ec0c5956-7f17-4849-98fd-0f8102d6d09c","I was focused on winning for the entire time I was playing.",2,7,"win_nil_lose_positive",232,105,83,112,300,0.35
"ebd54677-9931-4785-9ad6-374ff82c2070","ec0c5956-7f17-4849-98fd-0f8102d6d09c","I paid attention to my opponent’s moves in order to try and predict their next move.",3,7,"win_nil_lose_positive",232,105,83,112,300,0.35
"ebd54677-9931-4785-9ad6-374ff82c2070","ec0c5956-7f17-4849-98fd-0f8102d6d09c","There were noticeable patterns in my opponent’s moves that allowed me to predict their next move.",4,7,"win_nil_lose_positive",232,105,83,112,300,0.35
"12e904c3-e3b6-4b2a-a679-a1d057d4d8fe","6805a080-daeb-42c3-98ab-3a52e9731116","My opponent was a real person and not a robot.",0,2,"win_positive_lose_negative",503,182,43,75,300,0.6066666666666667
